uuid,qscore
faq_question_i-59130lbs-wear-34-small-i-modeling-and-natural-325,0.981485283205967
faq_question_denver-opinions-nose-job-results,0.8815707559643768
faq_question_austin-tx-reductions,0.8815707559643768
doctor_North-Carolina.Greensboro.Orthodontist_Richard-Steedle,0.7311716247385501
faq_question_tuscaloosa-al-i-live-tuscaloosa-al-area-price-fix-open-bite,0.7078982607211817
doctor_Texas.Tyler.Plastic-Surgeon_James-Motlagh,0.9879513244096341
faq_question_canada-ky-thinning-hair-loss-bald,0.8420405378030086
faq_question_norwalk-ca-braces-cost,0.7078982607211817
faq_question_cheek-implant-long-face,0.8420405378030086
faq_question_pakistan-pk-burn-scar,0.7078982607211817
faq_question_santa-rosa-ca-questions-abdominal-wall-reconstruction-umbilical-hernia,0.8420405378030086
faq_question_bridge-swelling-treatment,0.8017171522847569
faq_question_vadodara-lasic,0.7324473135615129
faq_question_singapore-sg-4-weeks-post-double-eyelid-surgery-incision-site-ont-eyelid-corner,0.7078982607211817
faq_question_kenya-hyperpigmentation-lip,0.7078982607211817
doctor_South-Korea.Bariatric-Surgeon_Sehoon-Kang,0.9226749964170101
faq_question_mayfield-ky-pstosis-there-correct-without-surgery,0.8420405378030086
faq_question_san-clemente-ca-fat-grafting-my-buttocks-my-and-consent,0.7642241093053103
faq_question_chicago-extreme-mini-tummy-tuck,0.8420405378030086
faq_question_oakland-ca-i-bigger-500-550cc,0.9904032873207381
faq_question_big-indian-ny-17-days-back-lips-cutted-bu-dog-teeths-stiches,0.7324473135615129
faq_question_los-angeles-ca-board-certified-plastic-surgeon-los-angeles-breast-augmentation,0.9904032873207381
doctor_New-Jersey.Sea-Girt.Plastic-Surgeon_Caroline-Glicksman,0.9879513244096341
faq_question_united-kingdom-gb-extract-premolars-braces,0.7078982607211817
faq_question_mumbai-dove-shampoo-daily-clean-scalp-post-months-hair-transplant,0.8815707559643768
faq_question_toronto-huge-bulbous-nose,0.967028485227838
doctor_New-York.New-York-City.Dermatologist_Arash-Akhavan,0.9570400258596111
faq_question_carlisle-sc-i-chin-jowls-lipo-smart-long-results-jowls-swollen,0.981485283205967
doctor_Texas.Corpus-Christi.Bariatric-Surgeon_Lloyd-Stegemann,0.8931461401999673
doctor_Oregon.Salem.Facial-Plastic-Surgeon_Gary-Nishioka,0.7311716247385501
faq_question_lancaster-pa-large-nose-overbite-fix,0.967028485227838
faq_question_month-after-open-rhinoplasty-septoplasty-college,0.9904032873207381
faq_question_weston-ma-inverted-nipple-post-breast-reduction,0.7642241093053103
doctor_Minnesota.Edina.Orthodontist_Scott-Bowlby,0.7311716247385501
faq_question_arizona-az-surgery-incision-line-bottom-lip-angelina-jolie,0.7324473135615129
faq_question_invisalign-and-arch-expansion,0.7642241093053103
faq_question_albany-ca-question-cool-sculpting,0.9904032873207381
faq_question_florida-fl-weight-loss-amp-amount-fat-cells-removed,0.8017171522847569
faq_question_brisbane-au-rhinoplasty-procedures,0.7642241093053103
doctor_Washington-DC.Dermatologist_Agnes-Chang,0.7440380720685922
faq_question_miami-fl-sagging-after-augmentation-breasts-auglift-year-breast-sagging,0.9456666044581534
doctor_New-York.Dermatologist_Jeffrey-Schachne,0.7440380720685922
